Nom;Code de département;Nom de région;Population total
Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;41365.0
Laon;02;Hauts-de-France;25193.0
Saint-Quentin;02;Hauts-de-France;54443.0
Soissons;02;Hauts-de-France;28466.0
Montluçon;03;Auvergne-Rhône-Alpes;36147.0
Gap;05;Provence-Alpes-Côte d'Azur;40805.0
Antibes;06;Provence-Alpes-Côte d'Azur;73798.0
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;49902.0
Cannes;06;Provence-Alpes-Côte d'Azur;74152.0
Le Cannet;06;Provence-Alpes-Côte d'Azur;41612.0
Grasse;06;Provence-Alpes-Côte d'Azur;50677.0
Menton;06;Provence-Alpes-Côte d'Azur;28486.0
Nice;06;Provence-Alpes-Côte d'Azur;342637.0
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28645.0
Vallauris;06;Provence-Alpes-Côte d'Azur;26618.0
Charleville-Mézières;08;Grand Est;46682.0
Troyes;10;Grand Est;60640.0
Carcassonne;11;Occitanie;45895.0
Narbonne;11;Occitanie;53594.0
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;143006.0
Arles;13;Provence-Alpes-Côte d'Azur;52857.0
Aubagne;13;Provence-Alpes-Côte d'Azur;45290.0
La Ciotat;13;Provence-Alpes-Côte d'Azur;35366.0
Istres;13;Provence-Alpes-Côte d'Azur;42925.0
Marignane;13;Provence-Alpes-Côte d'Azur;33658.0
Marseille;13;Provence-Alpes-Côte d'Azur;862211.0
Martigues;13;Provence-Alpes-Côte d'Azur;48783.0
Miramas;13;Provence-Alpes-Côte d'Azur;25756.0
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;45574.0
Vitrolles;13;Provence-Alpes-Côte d'Azur;33880.0
Caen;14;Normandie;105403.0
Aurillac;15;Auvergne-Rhône-Alpes;25954.0
Angoulême;16;Nouvelle-Aquitaine;41935.0
La Rochelle;17;Nouvelle-Aquitaine;75736.0
Saintes;17;Nouvelle-Aquitaine;25355.0
Bourges;18;Centre-Val de Loire;65555.0
Vierzon;18;Centre-Val de Loire;26365.0
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;47004.0
Ajaccio;2A;Corse;69075.0
Bastia;2B;Corse;44829.0
Dijon;21;Bourgogne-Franche-Comté;155090.0
Saint-Brieuc;22;Bretagne;44999.0
Bergerac;24;Nouvelle-Aquitaine;27269.0
Périgueux;24;Nouvelle-Aquitaine;29912.0
Besançon;25;Bourgogne-Franche-Comté;116466.0
Montbéliard;25;Bourgogne-Franche-Comté;25304.0
Montélimar;26;Auvergne-Rhône-Alpes;38692.0
Romans-sur-Isère;26;Auvergne-Rhône-Alpes;33310.0
Valence;26;Auvergne-Rhône-Alpes;62477.0
Évreux;27;Normandie;48899.0
Chartres;28;Centre-Val de Loire;38752.0
Dreux;28;Centre-Val de Loire;30977.0
Brest;29;Bretagne;139342.0
Quimper;29;Bretagne;63405.0
Alès;30;Occitanie;39970.0
Nîmes;30;Occitanie;151001.0
Colomiers;31;Occitanie;38716.0
Muret;31;Occitanie;25207.0
Toulouse;31;Occitanie;475438.0
Tournefeuille;31;Occitanie;26436.0
Bègles;33;Nouvelle-Aquitaine;27713.0
Bordeaux;33;Nouvelle-Aquitaine;252040.0
Gradignan;33;Nouvelle-Aquitaine;25563.0
Mérignac;33;Nouvelle-Aquitaine;70317.0
Pessac;33;Nouvelle-Aquitaine;61859.0
Saint-Médard-en-Jalles;33;Nouvelle-Aquitaine;30956.0
Talence;33;Nouvelle-Aquitaine;42712.0
La Teste-de-Buch;33;Nouvelle-Aquitaine;26168.0
Villenave-d'Ornon;33;Nouvelle-Aquitaine;32750.0
Agde;34;Occitanie;27681.0
Béziers;34;Occitanie;76493.0
Lunel;34;Occitanie;26002.0
Montpellier;34;Occitanie;281613.0
Sète;34;Occitanie;43609.0
Rennes;35;Bretagne;216268.0
Saint-Malo;35;Bretagne;46005.0
Châteauroux;36;Centre-Val de Loire;44088.0
Joué-lès-Tours;37;Centre-Val de Loire;37505.0
Tours;37;Centre-Val de Loire;136565.0
Bourgoin-Jallieu;38;Auvergne-Rhône-Alpes;27651.0
Échirolles;38;Auvergne-Rhône-Alpes;35855.0
Grenoble;38;Auvergne-Rhône-Alpes;158180.0
Saint-Martin-d'Hères;38;Auvergne-Rhône-Alpes;38634.0
Vienne;38;Auvergne-Rhône-Alpes;29454.0
Mont-de-Marsan;40;Nouvelle-Aquitaine;29885.0
Blois;41;Centre-Val de Loire;45687.0
Roanne;42;Auvergne-Rhône-Alpes;34685.0
Saint-Chamond;42;Auvergne-Rhône-Alpes;35339.0
Saint-Étienne;42;Auvergne-Rhône-Alpes;171924.0
Nantes;44;Pays de la Loire;306694.0
Orvault;44;Pays de la Loire;25931.0
Rezé;44;Pays de la Loire;40368.0
Saint-Herblain;44;Pays de la Loire;46603.0
Saint-Nazaire;44;Pays de la Loire;69719.0
Saint-Sébastien-sur-Loire;44;Pays de la Loire;26872.0
Orléans;45;Centre-Val de Loire;114782.0
Agen;47;Nouvelle-Aquitaine;33569.0
Angers;49;Pays de la Loire;151229.0
Cholet;49;Pays de la Loire;53718.0
Saumur;49;Pays de la Loire;27125.0
Sèvremoine;49;Pays de la Loire;25681.0
Cherbourg-en-Cotentin;50;Normandie;80076.0
Châlons-en-Champagne;51;Grand Est;44980.0
Reims;51;Grand Est;183113.0
Laval;53;Pays de la Loire;49492.0
Nancy;54;Grand Est;104592.0
Vandœuvre-lès-Nancy;54;Grand Est;30182.0
Lorient;56;Bretagne;57274.0
Vannes;56;Bretagne;53218.0
Metz;57;Grand Est;117890.0
Thionville;57;Grand Est;40586.0
Nevers;58;Bourgogne-Franche-Comté;33235.0
Armentières;59;Hauts-de-France;25015.0
Cambrai;59;Hauts-de-France;32668.0
Douai;59;Hauts-de-France;39657.0
Dunkerque;59;Hauts-de-France;88108.0
Lambersart;59;Hauts-de-France;27618.0
Lille;59;Hauts-de-France;232440.0
Marcq-en-Barœul;59;Hauts-de-France;38805.0
Maubeuge;59;Hauts-de-France;29679.0
Roubaix;59;Hauts-de-France;96412.0
Tourcoing;59;Hauts-de-France;97476.0
Valenciennes;59;Hauts-de-France;43680.0
Villeneuve-d'Ascq;59;Hauts-de-France;62358.0
Wattrelos;59;Hauts-de-France;41341.0
Beauvais;60;Hauts-de-France;56020.0
Compiègne;60;Hauts-de-France;40258.0
Creil;60;Hauts-de-France;35747.0
Alençon;61;Normandie;26129.0
Arras;62;Hauts-de-France;40883.0
Béthune;62;Hauts-de-France;25186.0
Boulogne-sur-Mer;62;Hauts-de-France;41669.0
Calais;62;Hauts-de-France;74978.0
Hénin-Beaumont;62;Hauts-de-France;25901.0
Lens;62;Hauts-de-France;30689.0
Liévin;62;Hauts-de-France;30936.0
Clermont-Ferrand;63;Auvergne-Rhône-Alpes;142686.0
Anglet;64;Nouvelle-Aquitaine;38663.0
Bayonne;64;Nouvelle-Aquitaine;50589.0
Pau;64;Nouvelle-Aquitaine;77251.0
Tarbes;65;Occitanie;40318.0
Perpignan;66;Occitanie;121875.0
Haguenau;67;Grand Est;34460.0
Illkirch-Graffenstaden;67;Grand Est;26837.0
Schiltigheim;67;Grand Est;31811.0
Strasbourg;67;Grand Est;279284.0
Colmar;68;Grand Est;69899.0
Mulhouse;68;Grand Est;108999.0
Bron;69;Auvergne-Rhône-Alpes;41060.0
Caluire-et-Cuire;69;Auvergne-Rhône-Alpes;42915.0
Décines-Charpieu;69;Auvergne-Rhône-Alpes;27851.0
Lyon 1er Arrondissement;69;Auvergne-Rhône-Alpes;29575.0
Lyon 2e Arrondissement;69;Auvergne-Rhône-Alpes;30435.0
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;101992.0
Lyon 4e Arrondissement;69;Auvergne-Rhône-Alpes;36080.0
Lyon 5e Arrondissement;69;Auvergne-Rhône-Alpes;48929.0
Lyon 6e Arrondissement;69;Auvergne-Rhône-Alpes;51416.0
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82045.0
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;84517.0
Lyon 9e Arrondissement;69;Auvergne-Rhône-Alpes;50706.0
Meyzieu;69;Auvergne-Rhône-Alpes;32996.0
Oullins;69;Auvergne-Rhône-Alpes;26512.0
Rillieux-la-Pape;69;Auvergne-Rhône-Alpes;29885.0
Saint-Priest;69;Auvergne-Rhône-Alpes;45844.0
Vaulx-en-Velin;69;Auvergne-Rhône-Alpes;48497.0
Vénissieux;69;Auvergne-Rhône-Alpes;65405.0
Villefranche-sur-Saône;69;Auvergne-Rhône-Alpes;37266.0
Villeurbanne;69;Auvergne-Rhône-Alpes;149019.0
Chalon-sur-Saône;71;Bourgogne-Franche-Comté;45446.0
Mâcon;71;Bourgogne-Franche-Comté;33427.0
Le Mans;72;Pays de la Loire;142991.0
Aix-les-Bains;73;Auvergne-Rhône-Alpes;29799.0
Chambéry;73;Auvergne-Rhône-Alpes;59183.0
Annecy;74;Auvergne-Rhône-Alpes;126419.0
Annemasse;74;Auvergne-Rhône-Alpes;35041.0
Thonon-les-Bains;74;Auvergne-Rhône-Alpes;35132.0
Paris;75;Île-de-France;2190327.0
Dieppe;76;Normandie;29606.0
Le Grand-Quevilly;76;Normandie;25897.0
Le Havre;76;Normandie;170352.0
Rouen;76;Normandie;110117.0
Saint-Étienne-du-Rouvray;76;Normandie;28696.0
Sotteville-lès-Rouen;76;Normandie;28991.0
Bussy-Saint-Georges;77;Île-de-France;26971.0
Chelles;77;Île-de-France;54196.0
Meaux;77;Île-de-France;54331.0
